trip_id,branch,driver_id,s_filename,s_relative_path,v_filename,v_relative_path,raw_s_rows,raw_v_rows,synced_rows,validated_rows,omitted_rows,flag_ok_count,measured_rate_hz,duration_s,has_stationary_segment,stationary_segment_count,total_stationary_duration_s,has_real_outages_for_trip,has_real_outages_in_dataset,has_real_outages,outage_windows_json,extreme_accel_count,extreme_gyro_count,extreme_motion_count,dropout_count,nan_or_nonfinite_count,cached_npz_path,non_monotonic_count,duplicate_count,invalid_timestamp_count,sync_mode,sync_status,sync_clock_origin_offset_s,sync_clock_drift_s,sync_overlap_duration_s,sync_valid_interpolated_count,sync_out_of_bounds_count,sync_gap_violation_count,sync_valid_coverage_ratio
Vta11,Categorised IOVNB Dataset,Driver E,S-Vta11.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/S-Vta11.csv,V-vta11.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/V-vta11.csv,510,510,510,510,0,510,10.0,50.9,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta11.npz,0,0,0,relative_elapsed,PASSED,42353.388,0.0,50.9,510,0,0,1.0
Vta12,Categorised IOVNB Dataset,Driver E,S-Vta12.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/S-Vta12.csv,V-vta12.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/V-vta12.csv,610,610,610,610,0,610,10.0,60.9,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta12.npz,0,0,0,relative_elapsed,PASSED,42353.588,0.0,60.9,610,0,0,1.0
Vta13,Categorised IOVNB Dataset,Driver E,S-Vta13.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/S-Vta13.csv,V-vta13.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/V-vta13.csv,404,404,404,404,0,404,10.0,40.3,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta13.npz,0,0,0,relative_elapsed,PASSED,42353.489,0.001,40.3,403,1,0,0.9975
Vta14,Categorised IOVNB Dataset,Driver E,S-Vta14.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/S-Vta14.csv,V-vta14.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/V-vta14.csv,2885,2885,2885,2885,0,2885,10.0,288.4,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta14.npz,0,0,0,relative_elapsed,PASSED,42353.188,0.0,288.4,2885,0,0,1.0
Vta15,Categorised IOVNB Dataset,Driver E,S-Vta15.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta15/S-Vta15.csv,V-vta15.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta15/V-vta15.csv,833,833,833,833,0,833,10.0,83.2,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta15.npz,0,0,0,relative_elapsed,PASSED,42350.888,0.0,83.2,833,0,0,1.0
Vta16,Categorised IOVNB Dataset,Driver E,S-Vta16.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta16/S-Vta16.csv,V-vta16.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta16/V-vta16.csv,11335,11335,11335,11335,0,11335,10.0,1133.4,True,6,93.9,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta16.npz,0,0,0,relative_elapsed,PASSED,42352.088,0.0,1133.4,11335,0,0,1.0
Vta17,Categorised IOVNB Dataset,Driver E,S-Vta17.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta17/S-Vta17.csv,V-vta17.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta17/V-vta17.csv,4519,4519,4519,4519,0,4518,10.0,451.8,True,6,62.3,False,False,False,[],0,0,0,1,0,data/cache/iovnbd/Categorised_Vta17.npz,0,0,0,relative_elapsed,PASSED,42353.389,1.186,451.8,4507,12,0,0.9973
Vta19,Categorised IOVNB Dataset,Driver E,S-Vta19.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta19/S-Vta19.csv,V-vta19.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta19/V-vta19.csv,292,292,292,292,0,292,10.0,29.1,True,1,7.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta19.npz,0,0,0,relative_elapsed,PASSED,42353.404,0.001,29.1,291,1,0,0.9966
Vta1a,Categorised IOVNB Dataset,Driver E,S-Vta1a.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/S-Vta1a.csv,V-Vta1a.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/V-Vta1a.csv,25676,25676,25676,25676,0,25676,10.0,2567.5,True,3,52.5,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta1a.npz,0,0,0,relative_elapsed,PASSED,38520.98,-0.001,2567.5,25676,0,0,1.0
Vta1b,Categorised IOVNB Dataset,Driver E,S-Vta1b.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/S-Vta1b.csv,V-Vta1b.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/V-Vta1b.csv,954,953,954,954,0,954,10.0,95.2,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta1b.npz,0,0,0,relative_elapsed,PASSED,38506.88,0.1,95.2,953,1,0,0.999
Vta2,Categorised IOVNB Dataset,Driver E,S-Vta2.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/S-Vta2.csv,V-vta2.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/V-vta2.csv,10991,10991,10991,10991,0,10991,10.0,1099.0,True,10,135.3,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta2.npz,0,0,0,relative_elapsed,PASSED,38506.378,-0.002,1099.0,10991,0,0,1.0
Vta20,Categorised IOVNB Dataset,Driver E,S-Vta20.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta20/S-Vta20.csv,V-vta20.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta20/V-vta20.csv,3223,3223,3223,3223,0,3223,10.0,322.2,True,1,236.8,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta20.npz,0,0,0,relative_elapsed,PASSED,45714.986,0.0,322.2,3223,0,0,1.0
Vta21,Categorised IOVNB Dataset,Driver E,S-Vta21.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta21/S-Vta21.csv,V-vta21.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta21/V-vta21.csv,2079,2079,2079,2079,0,2079,10.0,207.8,True,1,8.2,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta21.npz,0,0,0,relative_elapsed,PASSED,45733.386,0.0,207.8,2079,0,0,1.0
Vta22,Categorised IOVNB Dataset,Driver E,S-Vta22.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta22/S-Vta22.csv,V-vta22.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta22/V-vta22.csv,1564,1564,1564,1564,0,1564,10.0,156.3,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta22.npz,0,0,0,relative_elapsed,PASSED,45737.886,0.001,156.3,1563,1,0,0.9994
Vta23,Categorised IOVNB Dataset,Driver E,S-Vta23.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta23/S-Vta23.csv,V-vta23.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta23/V-vta23.csv,1110,1110,1110,1110,0,1110,10.0,110.9,True,1,6.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta23.npz,0,0,0,relative_elapsed,PASSED,45740.785,0.0,110.9,1110,0,0,1.0
Vta24,Categorised IOVNB Dataset,Driver E,S-Vta24.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta24/S-Vta24.csv,V-vta24.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta24/V-vta24.csv,1171,1171,1171,1171,0,1171,10.0,117.0,True,5,51.8,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta24.npz,0,0,0,relative_elapsed,PASSED,45741.586,0.001,117.0,1170,1,0,0.9991
Vta25,Categorised IOVNB Dataset,Driver E,S-Vta25.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta25/S-Vta25.csv,V-vta25.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta25/V-vta25.csv,646,646,646,646,0,646,10.0,64.5,True,4,40.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta25.npz,0,0,0,relative_elapsed,PASSED,45742.984,-0.002,64.5,646,0,0,1.0
Vta26,Categorised IOVNB Dataset,Driver E,S-Vta26.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta26/S-Vta26.csv,V-vta26.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta26/V-vta26.csv,1935,1935,1935,1935,0,1935,10.0,193.4,True,3,80.7,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta26.npz,0,0,0,relative_elapsed,PASSED,45740.386,0.0,193.4,1935,0,0,1.0
Vta27,Categorised IOVNB Dataset,Driver E,S-Vta27.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta27/S-Vta27.csv,V-vta27.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta27/V-vta27.csv,2540,2540,2540,2540,0,2540,10.0,253.9,True,3,45.1,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta27.npz,0,0,0,relative_elapsed,PASSED,45768.886,0.0,253.9,2540,0,0,1.0
Vta28,Categorised IOVNB Dataset,Driver E,S-Vta28.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta28/S-Vta28.csv,V-vta28.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta28/V-vta28.csv,4210,4210,4210,4210,0,4210,10.0,420.9,True,3,50.1,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta28.npz,0,0,0,relative_elapsed,PASSED,45743.086,0.0,420.9,4210,0,0,1.0
Vta29,Categorised IOVNB Dataset,Driver E,S-Vta29.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta29/S-Vta29.csv,V-vta29.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta29/V-vta29.csv,23705,23705,23705,23701,4,23701,10.0,2370.18,True,30,353.5,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta29.npz,0,4,0,relative_elapsed,PASSED,48446.185,-0.222,2370.18,23705,0,0,1.0
Vta3,Categorised IOVNB Dataset,Driver E,S-Vta3.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/S-Vta3.csv,V-vta3.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/V-vta3.csv,645,645,645,645,0,645,10.0,64.4,True,2,32.8,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta3.npz,0,0,0,relative_elapsed,PASSED,42373.988,0.0,64.4,645,0,0,1.0
Vta30,Categorised IOVNB Dataset,Driver E,S-Vta30.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta30/S-Vta30.csv,V-vta30.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta30/V-vta30.csv,17136,17136,17136,17136,0,17136,10.0,1713.5,True,29,608.6,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta30.npz,0,0,0,relative_elapsed,PASSED,48438.507,0.0,1713.5,17136,0,0,1.0
Vta4,Categorised IOVNB Dataset,Driver E,S-Vta4.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/S-Vta4.csv,V-vta4.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/V-vta4.csv,1789,1789,1789,1789,0,1789,10.0,178.8,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta4.npz,0,0,0,relative_elapsed,PASSED,42351.687,-0.001,178.8,1789,0,0,1.0
Vta5,Categorised IOVNB Dataset,Driver E,S-Vta5.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/S-Vta5.csv,V-vta5.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/V-vta5.csv,307,307,307,307,0,307,10.0,30.6,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta5.npz,0,0,0,relative_elapsed,PASSED,42353.088,0.0,30.6,307,0,0,1.0
Vta6,Categorised IOVNB Dataset,Driver E,S-Vta6.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/S-Vta6.csv,V-vta6.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/V-vta6.csv,1376,1376,1376,1376,0,1376,10.0,137.5,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta6.npz,0,0,0,relative_elapsed,PASSED,42351.588,0.0,137.5,1376,0,0,1.0
Vta7,Categorised IOVNB Dataset,Driver E,S-Vta7.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/S-Vta7.csv,V-vta7.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/V-vta7.csv,840,840,840,840,0,840,10.0,83.9,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta7.npz,0,0,0,relative_elapsed,PASSED,42352.288,0.0,83.9,840,0,0,1.0
Vta8,Categorised IOVNB Dataset,Driver E,S-Vta8.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta08/S-Vta8.csv,V-vta8.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta08/V-vta8.csv,3676,3676,3676,3676,0,3676,10.0,367.5,True,4,112.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta8.npz,0,0,0,relative_elapsed,PASSED,42352.588,0.0,367.5,3676,0,0,1.0
Vta9,Categorised IOVNB Dataset,Driver E,S-Vta9.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/S-Vta9.csv,V-vta9.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/V-vta9.csv,156,156,156,156,0,156,10.0,15.5,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta9.npz,0,0,0,relative_elapsed,PASSED,42353.587,-0.002,15.5,156,0,0,1.0
Vtb1,Categorised IOVNB Dataset,Driver E,S-Vtb1.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb01/S-Vtb1.csv,V-vtb1.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb01/V-vtb1.csv,32459,32459,32459,27003,5456,27002,10.0,3245.8,True,48,737.89,False,False,False,[],0,0,0,1,0,data/cache/iovnbd/Categorised_Vtb1.npz,0,5456,0,relative_elapsed,FAILED: Clock drift (545.60s) exceeds threshold (120.00s),53857.771,545.599,3245.8,27003,5456,0,0.8319
Vtb10,Categorised IOVNB Dataset,Driver E,S-Vtb10.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb10/S-Vtb10.csv,V-vtb10.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb10/V-vtb10.csv,196,195,196,196,0,196,10.0,19.4,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vtb10.npz,0,0,0,relative_elapsed,PASSED,57979.987,0.1,19.4,195,1,0,0.9949
Vtb11,Categorised IOVNB Dataset,Driver E,S-Vtb11.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb11/S-Vtb11.csv,V-vtb11.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb11/V-vtb11.csv,361,361,361,361,0,361,10.0,36.0,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vtb11.npz,0,0,0,relative_elapsed,PASSED,57982.086,0.0,36.0,361,0,0,1.0
Vtb12,Categorised IOVNB Dataset,Driver E,S-Vtb12.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb12/S-Vtb12.csv,V-vtb12.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb12/V-vtb12.csv,447,447,447,447,0,447,10.0,44.6,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vtb12.npz,0,0,0,relative_elapsed,PASSED,57982.087,0.001,44.6,446,1,0,0.9978
Vtb2,Categorised IOVNB Dataset,Driver E,S-Vtb2.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb02/S-Vtb2.csv,V-vtb2.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb02/V-vtb2.csv,5712,5712,5712,5712,0,5712,10.0,571.1,True,12,143.4,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vtb2.npz,0,0,0,relative_elapsed,PASSED,57981.386,-0.1,571.1,5712,0,0,1.0
Vtb3,Categorised IOVNB Dataset,Driver E,S-Vtb3.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb03/S-Vtb3.csv,V-vtb3.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb03/V-vtb3.csv,8240,8240,8240,8240,0,8240,10.0,823.9,True,20,796.2,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vtb3.npz,0,0,0,relative_elapsed,PASSED,57981.886,0.0,823.9,8240,0,0,1.0
Vtb4,Categorised IOVNB Dataset,Driver E,S-Vtb4.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb04/S-Vtb4.csv,V-vtb4.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb04/V-vtb4.csv,556,556,556,556,0,556,10.0,55.5,True,1,10.4,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vtb4.npz,0,0,0,relative_elapsed,PASSED,57980.886,0.0,55.5,556,0,0,1.0
